1;1;IOPEX;Odborná praxe - exkurze I;A;N;2;35;2;0;0;2;zp;A;1
2;1;IUDP;Architektura poèítaèù;A;N;5;35;4;2;2;0;zk;A;1
3;1;IZALG;Základy algoritmizace;A;N;3;35;2;0;2;0;zp;A;1
4;3;ILALG;Lineární algebra;A;A;4;25;4;2;2;0;zk;A;1
5;3;IMAT1;Matematika 1;A;N;6;25;6;3;3;0;zk;A;1
7;1;ISPSY;Sociální psychologie;A;N;2;23;2;1;1;0;zp;B;1
8;1;IPS1;Poèítaèové sítì I;A;N;5;37;4;2;2;0;zk;A;2
11;1;IOSYS;Operaèní systémy;A;A;4;18;4;2;2;0;zk;A;2
13;1;IINMC;Úvod do nových médií a komunikace;A;N;3;33;3;1;2;0;zk;B;2
14;1;IGRED;Grafické editory;A;A;4;30;4;1;3;0;zk;B;2
18;1;IZBPR;Zpracování bakaláøské práce;A;A;8;52;3;0;3;0;zp;A;3
19;1;IDAS2;Databázové systémy II;A;N;5;4;5;2;3;0;zk;A;3
20;1;ISEPR;Seminární projekt;A;N;1;33;2;0;0;2;zp;A;3
21;1;ISOSY;Správa operaèních systémù;A;A;4;18;5;2;3;0;zk;A;3
22;1;IWWW;Návrh a tvorba WWW stránek;A;N;4;8;4;2;2;0;zk;A;3
27;1;ICAD;Systémy CAD;A;N;4;30;4;2;2;0;zk;B;3
28;1;IPS3;Poèítaèové sítì III;A;N;4;37;4;1;3;0;zk;B;3
33;1;IVPH;Vývoj poèítaèových her;A;N;3;5;3;1;2;0;zp;C;
